EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/11/2022 6:03:12 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,amo_lag1_pcp
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985


Time,"Total B","Commercial B","Fish B","Invertebrates B","Invertebrates / Fish B","Demersal B","Pelagic B","Demersal / Pelagic B","Predatory B","Kempton's Q","Shannon diversity","Total C","Fish C","Invertebrate C","Invertebrates / Fish C","Demersal C","Pelagic C","Demersal / pelagic C","Predatory C",Discards,"TL catch",MTI,"TL community","TL community 2","TL community 3.25","TL community 4","Intrinsic Vul. Index","Endemics B","Endemics C","IUCN species B","IUCN species C","Mammals, birds & reptiles B","Mammals, birds & reptiles C","ML of fish community","ML of fish C","MW of fish community","MW of fish C","MLS of fish community","MLS of fish C"
72,53.65132,3.919896,0,0,0,0,0,0,0.1550326,1.656589,1.510121,0.7041509,0,0,0,0,0,0,0.04778294,0.6930473,2.990292,3.587015,1.816407,2.366152,3.576748,4.052072,0,0,0,0,0,0,0,0,0,0,0,0,0
73,53.60535,3.841276,0,0,0,0,0,0,0.1563183,1.645074,1.503855,0.6564681,0,0,0,0,0,0,0.05133064,0.6453645,3.004954,3.604782,1.815648,2.365996,3.575387,4.052019,0,0,0,0,0,0,0,0,0,0,0,0,0
74,53.74315,4.090856,0,0,0,0,0,0,0.1577407,1.635488,1.523455,0.6633257,0,0,0,0,0,0,0.0515287,0.6522221,3.003707,3.602917,1.818708,2.368118,3.574291,4.051963,0,0,0,0,0,0,0,0,0,0,0,0,0
75,53.71936,4.03074,0,0,0,0,0,0,0.1593275,1.627442,1.518774,0.6671808,0,0,0,0,0,0,0.05175487,0.6560772,3.0057,3.601091,1.818292,2.368183,3.573223,4.051902,0,0,0,0,0,0,0,0,0,0,0,0,0
76,53.69348,3.980041,0,0,0,0,0,0,0.1607052,1.619439,1.514855,0.6694593,0,0,0,0,0,0,0.05191276,0.6583557,3.009544,3.599141,1.817889,2.368208,3.572093,4.051842,0,0,0,0,0,0,0,0,0,0,0,0,0
77,53.73901,4.056205,0,0,0,0,0,0,0.1620393,1.612222,1.520866,0.6727316,0,0,0,0,0,0,0.05204499,0.661628,3.010792,3.597228,1.818952,2.369046,3.57103,4.051781,0,0,0,0,0,0,0,0,0,0,0,0,0
78,53.69151,3.972722,0,0,0,0,0,0,0.1633111,1.605641,1.514332,0.6752195,0,0,0,0,0,0,0.05215,0.6641159,3.012785,3.595254,1.818108,2.368767,3.569929,4.051719,0,0,0,0,0,0,0,0,0,0,0,0,0
79,53.68302,3.971324,0,0,0,0,0,0,0.1644999,1.599771,1.514625,0.6779634,0,0,0,0,0,0,0.05222143,0.6668599,3.013965,3.593283,1.818181,2.368967,3.568872,4.051656,0,0,0,0,0,0,0,0,0,0,0,0,0
80,53.64333,3.919032,0,0,0,0,0,0,0.1656185,1.510957,1.510727,0.6800641,0,0,0,0,0,0,0.05226428,0.6689605,3.015285,3.591287,1.817623,2.368791,3.567812,4.051594,0,0,0,0,0,0,0,0,0,0,0,0,0
81,53.60764,3.881774,0,0,0,0,0,0,0.1666654,1.503164,1.508167,0.6823267,0,0,0,0,0,0,0.05227752,0.671223,3.016501,3.589287,1.817214,2.368691,3.566777,4.051531,0,0,0,0,0,0,0,0,0,0,0,0,0
82,53.55896,3.827623,0,0,0,0,0,0,0.1676491,1.497493,1.504197,0.6844018,0,0,0,0,0,0,0.05226437,0.6732982,3.017735,3.587283,1.816566,2.368442,3.565759,4.051467,0,0,0,0,0,0,0,0,0,0,0,0,0
83,53.67614,4.054538,0,0,0,0,0,0,0.1687725,1.494231,1.523374,0.6884604,0,0,0,0,0,0,0.05227586,0.6773568,3.015164,3.585517,1.819227,2.370177,3.564966,4.051401,0,0,0,0,0,0,0,0,0,0,0,0,0
84,53.61292,3.943757,0,0,0,0,0,0,0.1700508,1.49325,1.514611,0.6902021,0,0,0,0,0,0,0.05231707,0.6790985,3.016105,3.583778,1.818021,2.369685,3.564169,4.051331,0,0,0,0,0,0,0,0,0,0,0,0,0
85,53.60747,3.941617,0,0,0,0,0,0,0.1713717,1.49975,1.514694,0.5355813,0,0,0,0,0,0,0.05103524,0.5244777,3.093049,3.577273,1.818107,2.369923,3.563482,4.05127,0,0,0,0,0,0,0,0,0,0,0,0,0
86,53.61755,3.959088,0,0,0,0,0,0,0.1726643,1.505234,1.516313,0.5391527,0,0,0,0,0,0,0.05112062,0.5280491,3.093285,3.575879,1.818442,2.370287,3.56281,4.051208,0,0,0,0,0,0,0,0,0,0,0,0,0
87,53.58508,3.904165,0,0,0,0,0,0,0.1738909,1.509658,1.511918,0.5412778,0,0,0,0,0,0,0.05118323,0.5301743,3.094879,3.574447,1.817887,2.37012,3.562109,4.051147,0,0,0,0,0,0,0,0,0,0,0,0,0
88,53.64326,4.005351,0,0,0,0,0,0,0.1751377,1.513461,1.520601,0.5433921,0,0,0,0,0,0,0.05124306,0.5322885,3.095073,3.5731,1.819187,2.370998,3.561502,4.051084,0,0,0,0,0,0,0,0,0,0,0,0,0
89,53.64067,3.992315,0,0,0,0,0,0,0.1764431,1.516597,1.519594,0.5454406,0,0,0,0,0,0,0.05131169,0.5343369,3.09591,3.571777,1.819182,2.371146,3.560909,4.051022,0,0,0,0,0,0,0,0,0,0,0,0,0
90,53.59674,3.920147,0,0,0,0,0,0,0.1776446,1.518799,1.513908,0.5470966,0,0,0,0,0,0,0.05134913,0.5359929,3.098134,3.570396,1.818402,2.370845,3.560282,4.050959,0,0,0,0,0,0,0,0,0,0,0,0,0
91,53.55758,3.872206,0,0,0,0,0,0,0.1787893,1.520444,1.510419,0.5481797,0,0,0,0,0,0,0.05136577,0.5370761,3.100517,3.569013,1.817874,2.370664,3.559683,4.050897,0,0,0,0,0,0,0,0,0,0,0,0,0
92,53.52394,3.841432,0,0,0,0,0,0,0.1798945,1.521407,1.508555,0.5490478,0,0,0,0,0,0,0.05136694,0.5379442,3.102637,3.567642,1.817526,2.370572,3.559117,4.050835,0,0,0,0,0,0,0,0,0,0,0,0,0
93,53.53724,3.88819,0,0,0,0,0,0,0.1810291,1.521703,1.51341,0.5499819,0,0,0,0,0,0,0.05136982,0.5388783,3.10373,3.566348,1.818105,2.371012,3.558634,4.050772,0,0,0,0,0,0,0,0,0,0,0,0,0
94,53.51966,3.87331,0,0,0,0,0,0,0.1822114,1.521182,1.512618,0.5501612,0,0,0,0,0,0,0.05137957,0.5390576,3.105627,3.565093,1.817973,2.371074,3.558183,4.050708,0,0,0,0,0,0,0,0,0,0,0,0,0
