Index,1,2,3,4,5,6,7,8,9,
Image,,,,,,,,,,
Name,"PP 11 splines","PP 33 splines","SB rec dev","AM rec dev","BF rec dev","WF rec dev","AH rec dev","SBAH seas","SBAH seas projection",
November,0.9692887,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,3.28224,1,
December,0.9687033,0.6511477,0.39804,1.320208,1.142081,1.378138,0.6049584,2.298434,1,
2005,0.9682075,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,1.181405,1,
February,0.9677992,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,1.00501,1,
March,0.9674758,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,1.317058,1,
April,0.967235,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,2.041149,1,
May,0.9670745,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,3,1,
June,0.966992,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,3.958851,1,
July,0.966985,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,4.682942,1,
August,0.9670514,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,4.99499,1,
September,0.9671885,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,4.818595,1,
October,0.9673942,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,4.196944,1,
November,0.967666,0.6511477,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,3.28224,1,
December,0.9680017,1.560435,0.7656251,0.7807491,0.7028377,1.012549,0.8601202,2.298434,1,
2006,0.9683987,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,1.181405,1,
February,0.9688549,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,1.00501,1,
March,0.9693679,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,1.317058,1,
April,0.9699351,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,2.041149,1,
May,0.9705545,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,3,1,
