EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:36:15 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,full_compensation
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.6285707,0.02129909,0.05396355,0.0707911,0.2869035,0.9630554,0.7751146,0.3373678,0.1200541,0.04466492,0.03176062,0.291528,0.001620852,0.1074466,0.0006761769,0.007177765,0.01425679,0.251886,0.1164788,14.52611,13.57101,8.594328,12.97091
0.6428564,0.02119511,0.05386196,0.07044746,0.2868613,0.9626998,0.7738828,0.3362835,0.1194907,0.04438629,0.03156449,0.2916705,0.001622094,0.1075211,0.0006771694,0.007185677,0.01429403,0.2526114,0.1166179,14.52602,13.57123,8.594303,12.97088
0.6571422,0.02109188,0.05376098,0.07010635,0.2868116,0.9623287,0.7726423,0.3351972,0.1189274,0.04410785,0.03136829,0.2918131,0.001623326,0.1075947,0.0006781567,0.007193528,0.01433125,0.2533365,0.116756,14.52593,13.57144,8.594278,12.97084
0.6714279,0.02098947,0.05366071,0.06976809,0.2867541,0.9619413,0.7713936,0.3341093,0.1183644,0.0438296,0.031172,0.2919556,0.001624548,0.1076676,0.0006791389,0.007201319,0.01436844,0.2540612,0.1168932,14.52584,13.57166,8.594252,12.9708
0.6857136,0.02088782,0.05356105,0.06943237,0.286689,0.9615381,0.7701365,0.3330198,0.1178014,0.04355156,0.03097568,0.2920983,0.001625761,0.1077396,0.0006801157,0.007209049,0.01440561,0.2547859,0.1170295,14.52574,13.5719,8.594225,12.97077
0.6999994,0.02078694,0.05346204,0.06909939,0.2866161,0.9611188,0.7688709,0.3319283,0.1172386,0.04327372,0.03077927,0.2922409,0.001626962,0.1078109,0.0006810872,0.007216719,0.01444275,0.2555101,0.1171647,14.52564,13.57213,8.594197,12.97073
0.7142851,0.02068685,0.05336366,0.06876897,0.2865357,0.9606838,0.7675974,0.3308353,0.1166759,0.04299613,0.03058287,0.2923836,0.001628155,0.1078813,0.0006820539,0.007224332,0.01447987,0.2562342,0.1172992,14.52554,13.57237,8.59417,12.9707
0.7285709,0.02058751,0.05326592,0.06844123,0.2864476,0.9602327,0.7663151,0.3297406,0.1161134,0.04271878,0.03038644,0.2925265,0.001629338,0.1079509,0.0006830152,0.007231885,0.01451697,0.2569579,0.1174329,14.52543,13.57263,8.594139,12.97066
0.7428566,0.02048894,0.05316881,0.06811602,0.2863516,0.9597654,0.7650246,0.3286441,0.1155511,0.04244165,0.03019,0.2926693,0.00163051,0.1080197,0.0006839713,0.007239378,0.01455405,0.2576814,0.1175655,14.52532,13.57288,8.594109,12.97062
0.7571424,0.02039113,0.05307235,0.06779344,0.2862478,0.959282,0.7637257,0.327546,0.1149889,0.04216479,0.02999357,0.2928122,0.001631674,0.1080877,0.0006849219,0.00724681,0.01459109,0.2584045,0.1176974,14.52521,13.57315,8.594076,12.97058
