EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
56,0.005458366,,0.009219297,,0.05064333,,0.2115819,,1.052115,,0.3591614,,0.03937898,,0.0181221,,0.005649223,,0.6943878,,0.000487828,,0.0891493,,0.761718,,0.003909738,,0.09562306,,0.004136804,,
57,0.005470009,,0.01018008,,0.05281106,,0.220678,,1.114677,,0.384168,,0.04284044,,0.01870018,,0.00592439,,0.7308671,,0.0005998972,,0.09305432,,0.8500621,,0.003730828,,0.09911995,,0.004358218,,
58,0.005479826,,0.01138764,,0.05570633,,0.2323815,,1.177405,,0.4068792,,0.04718883,,0.01937844,,0.006213859,,0.7751092,,0.0007483555,,0.0988071,,0.9446289,,0.004653903,,0.1037535,,0.004572467,,
59,0.005491005,,0.01286651,,0.05928302,,0.2382011,,1.210317,,0.4202746,,0.05446405,,0.0194506,,0.006433789,,0.8258605,,0.0009225815,,0.1059312,,1.035606,,0.004127906,,0.1088539,,0.004744715,,
60,0.005490562,,0.01458426,,0.06311147,,0.2295783,,1.213009,,0.4134405,,0.06152811,,0.01883368,,0.006484598,,0.8770064,,0.001091797,,0.1128139,,1.100731,,0.003562089,,0.1130631,,0.004748153,,
61,0.01704161,,0.008223163,,0.0395314,,0.162837,,0.9814509,,0.3772724,,0.06756585,,0.01868213,,0.006619961,,1.079338,,0.003466115,,0.05682579,,0.8849139,,0.002574963,,0.06849313,,0.002051037,,
62,0.01702678,,0.009232786,,0.04169656,,0.1523023,,0.954002,,0.3812328,,0.07136517,,0.01757003,,0.006547078,,1.125628,,0.003764386,,0.0599238,,0.9148561,,0.002272163,,0.07028641,,0.002107648,,
63,0.01700105,,0.01026025,,0.04355114,,0.1408625,,0.9069138,,0.3820959,,0.07396846,,0.01616761,,0.006400928,,1.162533,,0.003932408,,0.06201213,,0.930317,,0.002551878,,0.07101845,,0.002208877,,
64,0.01697194,,0.01127315,,0.04506895,,0.1328526,,0.857468,,0.3878837,,0.0760254,,0.01473715,,0.006264674,,1.189921,,0.003978908,,0.06321756,,0.9405808,,0.002773524,,0.07121374,,0.002394504,,
65,0.01696507,,0.01226608,,0.04642348,,0.1357727,,0.8378132,,0.4113601,,0.07933003,,0.01368249,,0.00627809,,1.212645,,0.003959207,,0.06415041,,0.9705915,,0.003692297,,0.07182317,,0.002808496,,
