EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C","catch (observed) AM adult C","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
90,0.01800385,0.018,0.0009842537,0.00225,0.003052096,0.00757,0.2268251,0.332,0.04869445,0.0355,1.51309E-05,2.64E-05,0.003144951,0.00255,0.1236092,0.125,0.0005646534,0.000528911,0.001272226,0.0002218887,2.931757E-05,2.651986E-05,
91,0.01800503,,0.0009954239,,0.003112915,,0.2273418,,0.04874088,,1.497693E-05,,0.00311427,,0.1249362,,0.0005654169,,0.001280118,,2.964874E-05,,
92,0.01800618,,0.001006778,,0.003174869,,0.227794,,0.04878147,,1.482403E-05,,0.003083546,,0.1262395,,0.0005665888,,0.001285089,,2.997066E-05,,
93,0.01800729,,0.001018311,,0.003237949,,0.2281893,,0.04881661,,1.467061E-05,,0.003052871,,0.1275187,,0.0005682156,,0.001286888,,3.02828E-05,,
94,0.01800837,,0.001030021,,0.003302146,,0.2285346,,0.04884671,,1.451556E-05,,0.003022317,,0.128773,,0.000570329,,0.001285292,,3.058459E-05,,
95,0.01800942,,0.001041903,,0.003367453,,0.2288364,,0.04887226,,1.435837E-05,,0.00299194,,0.1300019,,0.0005729452,,0.001280111,,3.087552E-05,,
96,0.01801044,,0.001053953,,0.003433865,,0.2291008,,0.04889377,,1.419923E-05,,0.002961774,,0.1312048,,0.0005760655,,0.001271193,,3.115508E-05,,
97,0.02218715,,0.002078749,,0.004939978,,0.2733733,,0.04764751,,5.708247E-06,,0.00130519,,0.1194266,,0.0006417132,,0.0008001,,9.56072E-05,,
98,0.02218878,,0.002100833,,0.00503052,,0.273308,,0.04771612,,5.645274E-06,,0.001308917,,0.1206463,,0.0006448614,,0.000811605,,9.640088E-05,,
99,0.02219038,,0.002123347,,0.005122836,,0.2732798,,0.04778197,,5.581288E-06,,0.001311099,,0.1218384,,0.000647972,,0.0008216352,,9.71725E-05,,
100,0.02219192,,0.002146274,,0.00521691,,0.2732827,,0.04784521,,5.517598E-06,,0.001311901,,0.1230017,,0.0006510796,,0.0008300428,,9.792425E-05,,
101,0.02219342,,0.002169594,,0.005312721,,0.2733155,,0.04790599,,5.455544E-06,,0.001311471,,0.124135,,0.0006541538,,0.0008366668,,9.865942E-05,,
102,0.02219487,0.0222,0.002193288,0.00207,0.005410245,0.00675,0.2733759,0.348,0.0479644,0.0325,5.396455E-06,1.12E-05,0.001309936,0.000874,0.1252371,0.108,0.0006571868,0.0008360206,0.000841338,0.0006277827,9.938217E-05,7.555938E-05,
103,0.02219628,,0.002217337,,0.005509446,,0.273462,,0.04802052,,5.341601E-06,,0.001307411,,0.1263071,,0.000660162,,0.0008438959,,0.0001000974,,
104,0.02219764,,0.002241722,,0.00561029,,0.2735729,,0.04807442,,5.292117E-06,,0.001303996,,0.1273441,,0.0006630562,,0.0008442074,,0.0001008103,,
105,0.02219895,,0.002266424,,0.00571273,,0.2737078,,0.04812617,,5.248937E-06,,0.00129978,,0.1283472,,0.0006658414,,0.0008421664,,0.0001015265,,
106,0.02220022,,0.002291428,,0.005816718,,0.2738662,,0.04817585,,5.212746E-06,,0.001294838,,0.1293157,,0.0006684857,,0.0008377156,,0.0001022513,,
107,0.02220143,,0.002316716,,0.005922198,,0.2740475,,0.04822353,,5.183943E-06,,0.001289239,,0.1302491,,0.0006709535,,0.0008308595,,0.0001029902,,
108,0.02220261,,0.002342273,,0.006029109,,0.2742513,,0.04826928,,5.162645E-06,,0.001283037,,0.1311467,,0.0006732062,,0.0008216692,,0.0001037478,,
109,0.02081206,,0.003159713,,0.008580042,,0.2329527,,0.04802066,,8.371535E-06,,0.001074724,,0.1202107,,0.000659823,,0.000846673,,9.631803E-05,,
110,0.02081316,,0.003193208,,0.008716895,,0.233454,,0.04807154,,8.311318E-06,,0.001070892,,0.1211223,,0.0006619151,,0.0008374813,,9.698063E-05,,
111,0.02081422,,0.003227559,,0.008855256,,0.233936,,0.04811922,,8.245158E-06,,0.001066721,,0.122004,,0.0006638622,,0.0008291735,,9.762315E-05,,
112,0.02081523,,0.003262724,,0.008994935,,0.234402,,0.04816375,,8.174929E-06,,0.001062236,,0.1228558,,0.0006656272,,0.0008216851,,9.824632E-05,,
113,0.02081619,,0.00329866,,0.009135741,,0.2348537,,0.04820519,,8.102178E-06,,0.001057458,,0.1236777,,0.0006671896,,0.0008149461,,9.88517E-05,,
114,0.02081711,0.0208,0.003335323,0.00303,0.009277487,0.00989,0.2352917,0.293,0.04824355,0.0334,8.0283E-06,8.5E-06,0.001052407,0.00122,0.1244698,0.0858,0.0006685408,0.0005152617,0.0008088883,0.0005530982,9.944166E-05,8.444871E-05,
115,0.02081797,,0.003372669,,0.009419992,,0.2357156,,0.04827884,,7.954614E-06,,0.001047101,,0.1252324,,0.0006696803,,0.0008034534,,0.0001000192,,
116,0.0208188,,0.003410656,,0.009563075,,0.2361241,,0.04831104,,7.88233E-06,,0.001041558,,0.1259655,,0.000670613,,0.000798598,,0.0001005878,,
117,0.02081957,,0.00344924,,0.009706563,,0.2365156,,0.04834015,,7.812483E-06,,0.001035796,,0.1266696,,0.0006713464,,0.0007942993,,0.0001011511,,
118,0.02082031,,0.003488378,,0.009850283,,0.2368881,,0.04836612,,7.74585E-06,,0.001029833,,0.1273447,,0.0006718895,,0.0007905563,,0.000101713,,
119,0.020821,,0.003528031,,0.009994067,,0.2372393,,0.04838892,,7.682886E-06,,0.00102369,,0.1279913,,0.000672251,,0.00078739,,0.0001022774,,
120,0.02082165,,0.003568157,,0.01013775,,0.2375671,,0.04840853,,7.623664E-06,,0.001017388,,0.1286097,,0.0006724392,,0.0007848407,,0.0001028478,,
121,0.0236056,,0.004102974,,0.01312719,,0.2874343,,0.0368134,,6.810907E-06,,0.0009125486,,0.2023004,,0.0007707524,,0.0004556279,,0.0008856762,,
122,0.02360517,,0.004144567,,0.01327636,,0.2873373,,0.03714154,,6.756673E-06,,0.0009074144,,0.2017045,,0.0007700843,,0.0004611044,,0.0008889682,,
123,0.02360474,,0.004185101,,0.01342092,,0.2872536,,0.03744578,,6.701723E-06,,0.0009021157,,0.201108,,0.0007690234,,0.0004659308,,0.0008921471,,
124,0.02360432,,0.004224667,,0.01356116,,0.2871737,,0.03772762,,6.646353E-06,,0.0008966746,,0.2005134,,0.0007675891,,0.0004701892,,0.0008951508,,
125,0.0236039,,0.004263352,,0.01369732,,0.2870892,,0.03798851,,6.590775E-06,,0.0008911104,,0.1999228,,0.0007657964,,0.0004739422,,0.0008978843,,
126,0.02360348,0.0236,0.004301237,0.00423,0.01382966,0.0187,0.2869931,0.379,0.03822979,0.0252,6.535201E-06,1.01E-05,0.0008854396,0.00109,0.1993379,0.121,0.0007636604,0.0003275836,0.0004772315,0.0004362007,0.0009002257,0.00230382,
127,0.02360306,,0.004338399,,0.01395842,,0.2868796,,0.03845272,,6.479883E-06,,0.0008796768,,0.1987603,,0.0007611989,,0.0004800795,,0.0009020346,,
128,0.02360264,,0.004374912,,0.01408382,,0.2867438,,0.03865844,,6.425103E-06,,0.0008738342,,0.1981913,,0.0007584351,,0.0004824992,,0.00090316,,
129,0.02360221,,0.004410845,,0.01420607,,0.286582,,0.03884803,,6.371159E-06,,0.0008679234,,0.1976321,,0.0007553989,,0.0004845002,,0.0009034475,,
130,0.02360178,,0.00444627,,0.01432538,,0.286391,,0.03902245,,6.318343E-06,,0.000861955,,0.1970835,,0.0007521278,,0.0004860926,,0.0009027467,,
131,0.02360133,,0.004481248,,0.01444195,,0.2861688,,0.0391826,,6.266906E-06,,0.0008559396,,0.1965462,,0.0007486667,,0.0004872886,,0.0009009169,,
132,0.02360087,,0.00451583,,0.01455597,,0.2859139,,0.0393293,,6.217031E-06,,0.0008498877,,0.1960206,,0.0007450664,,0.000488105,,0.0008978318,,
133,0.02776719,,0.004498762,,0.01119933,,0.2938843,,0.04249472,,1.741663E-05,,0.001387357,,0.1737468,,0.0006361937,,0.0008582606,,0.0002605695,,
134,0.02776738,,0.004532468,,0.0113081,,0.2934456,,0.04253106,,1.725984E-05,,0.001370273,,0.1736658,,0.0006334851,,0.0008468241,,0.0002599399,,
