SSB2017,R0
3078409,97.09741
3618160,93.6152
2928580,113.257
3027467,86.60086
4478084,145.1408
2252499,88.93095
3632793,113.0556
1923245,79.14973
6678473,213.4651
3461406,125.1221
2772658,105.6373
2772658,105.6373
2772658,105.6373
4430155,197.8962
3014303,86.37375
2163712,81.92492
3184732,113.0949
3335648,121.5324
2420050,75.4436
2291582,73.65101
2291582,73.65101
2291582,73.65101
3002868,122.3364
3375773,115.5163
3532830,132.5571
2630108,71.88162
3816095,79.61009
5397342,241.2392
2801714,78.58332
3347460,77.69529
2598835,110.4855
2598835,110.4855
2661572,119.5164
2585282,99.30357
3132981,94.40212
3178101,131.7998
2632107,94.68286
2946063,93.57561
3942219,99.28615
2219127,106.8034
2723701,103.2827
1995710,85.1006
3263907,141.7079
3263907,141.7079
3726615,110.5078
3726615,110.5078
5982318,187.1921
2856742,85.78503
2335812,77.72469
5760608,189.3902
5215728,242.1473
2923624,103.6631
2845792,88.03394
2117575,105.9287
2168343,91.69118
2717897,117.1087
1939403,77.72469
9490967,243.5407
2839092,103.2827
3210675,83.25005
5668636,139.5413
3107601,83.25008
4174998,112.7246
2259514,89.72261
6914663,285.0728
1773421,73.74673
4602708,164.4684
2520675,73.64786
2960379,85.78497
6418655,309.3118
2435106,70.37365
2358130,75.83932
3207837,73.18319
2657852,129.0519
4299531,141.7078
2302690,111.4332
2302690,111.4332
2222177,107.2977
5244347,155.5856
2974594,81.73947
2821855,74.03807
2800326,100.1127
2742555,90.8386
3742829,120.6814
2383107,75.34421
7532243,230.8216
3064607,112.9536
3252683,90.00201
4582548,160.5598
2187538,78.37746
6444245,252.3951
3311161,75.91659
1950184,91.60294
2454206,72.1897
3089201,85.7311
3489576,112.145
3322942,83.25005
3185645,73.29545
1877420,79.30144
2047022,75.22979
3201500,90.11138
4423823,152.0718
1954698,74.73609
6195724,258.6645
2629345,99.78409
2793559,87.88294
2382598,73.15095
3208690,92.63835
3173776,96.63841
2920767,108.1115
8192654,222.5234
8192654,222.5234
8192654,222.5234
3120001,64.44402
2313552,113.6416
2313552,113.6416
3605629,135.512
1894152,72.04914
8313993,368.1246
8313993,368.1246
2461744,90.9575
3688243,101.1173
3688243,101.1173
2231638,105.3807
6199370,262.4481
6199370,262.4481
6199370,262.4481
3664350,102.3276
3053873,83.11769
2332400,88.11977
2024565,69.33331
2027187,88.61694
6818504,256.7509
3053890,89.07379
2342406,88.5072
3978603,96.38498
2210319,78.46298
3045670,106.6492
3045670,106.6492
4678570,188.3926
6474553,219.8928
6474553,219.8928
4404964,141.0929
1794215,89.9297
2708330,78.28194
2708330,78.28194
5131657,192.7557
3452212,128.4804
3285786,82.02974
3285786,82.02974
2247407,74.64671
2866668,90.68837
8684577,321.6899
3314391,108.3456
2866436,104.2374
6718985,235.2518
6567824,185.6943
3065662,84.36546
2704227,75.36241
9057155,297.652
1785011,71.41674
4038151,144.8928
4038151,144.8928
2964344,110.5563
2623991,75.13398
2143279,74.60679
2717469,89.90841
2400957,85.73113
3556346,131.1203
3165941,73.16576
3165941,73.16576
2758603,102.2989
2758603,102.2989
2806225,87.12918
4454294,205.8815
2547329,114.6903
3287370,82.23049
2271050,98.37682
2271050,98.37682
5342242,134.5026
3656593,85.40285
3248502,99.30841
2551603,83.76374
2854688,84.36546
5258149,177.6351
3395734,82.5187
3013805,98.9867
2759377,89.54343
6699005,293.9747
2888108,92.3755
4811370,191.7633
3283996,121.8312
5048934,231.9777
2767368,73.74673
3303435,114.6842
2961097,75.70305
2798597,86.5816
1979240,92.9575
1979240,92.9575
1979240,92.9575
2944918,80.83238
2665260,76.07429
2665260,76.07429
2625422,79.89281
3118736,88.92911
3784079,98.19791
2111189,74.92829
2111189,74.92829
2846196,90.0037
1852101,87.30402
3065462,75.1956
1995856,121.6388
3731433,104.5831
6593468,215.1462
6223805,252.1444
1969218,70.22054
2057664,72.88593
3231793,103.14
2005828,84.81069
3620858,78.62019
3620858,78.62019
4978666,191.2302
2863202,87.98159
3148746,83.941
3179008,100.1618
2660827,75.36242
2997088,74.17007
4688635,173.8773
4688635,173.8773
3069572,81.47185
2441695,92.59121
7213958,193.1557
2820848,73.64783
3192309,102.7638
2170062,75.44801
2404238,90.74117
8263080,281.8565
2615937,126.4553
3609868,112.7672
2338972,83.98618
3551646,105.8584
2825393,71.90201
2626417,93.6152
4770963,173.5827
