EwEVersion,6.6.5.17207 (compiled 12/14/2020),,,,,,,,,,,,,,,,,,,,,
Date,4/18/2024 15:51,,,,,,,,,,,,,,,,,,,,,
ModelName,NWACS AM 7ages,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base_run,,,,,,,,,,,,,,,,,,,,,
TimeSeries,(none),,,,,,,,,,,,,,,,,,,,,
StartYear,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MSY run,MSY,,,,,,,,,,,,,,,,,,,,,
Assessment,stationary_stock,,,,,,,,,,,,,,,,,,,,,
Fleet,F.menhaden,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
F,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
0.5857134,1.58E-06,0.000737796,0.00316403,0.003119566,0.03896308,0.1004378,0.02875243,0.02232308,0.005234429,0.002696581,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5999992,1.58E-06,0.000737796,0.00316403,0.003195271,0.03990075,0.1027306,0.02936154,0.02276332,0.00533022,0.002747122,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6142849,1.58E-06,0.000737796,0.00316403,0.003270876,0.04083716,0.1050146,0.02996607,0.02319857,0.005424486,0.002796892,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6285707,1.58E-06,0.000737796,0.00316403,0.003346373,0.04177224,0.1072899,0.03056601,0.02362883,0.005517226,0.002845883,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6428564,1.58E-06,0.000737796,0.00316403,0.003421754,0.04270596,0.1095564,0.03116136,0.0240541,0.00560844,0.002894097,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6571422,1.58E-06,0.000737796,0.00316403,0.003497025,0.04363833,0.1118142,0.03175215,0.02447441,0.005698135,0.00294153,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6714279,1.58E-06,0.000737796,0.00316403,0.003572416,0.04457098,0.1140662,0.03233914,0.02489029,0.00578639,0.002988172,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6857136,1.58E-06,0.000737796,0.00316403,0.00364769,0.04550223,0.1163093,0.03292154,0.02530121,0.005873129,0.003034034,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.6999994,1.58E-06,0.000737796,0.00316403,0.003722841,0.04643201,0.1185435,0.03349934,0.02570718,0.005958359,0.003079114,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7142851,1.58E-06,0.000737796,0.00316403,0.003797856,0.04736026,0.1207686,0.03407254,0.0261082,0.006042071,0.003123408,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7285709,1.58E-06,0.000737796,0.00316403,0.003872735,0.04828696,0.1229846,0.03464115,0.02650429,0.00612428,0.00316692,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7428566,1.58E-06,0.000737796,0.00316403,0.003947473,0.04921206,0.1251913,0.03520509,0.02689541,0.00620498,0.003209645,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7571424,1.58E-06,0.000737796,0.00316403,0.004022058,0.05013547,0.1273888,0.03576441,0.02728161,0.006284175,0.003251582,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7714281,1.58E-06,0.000737796,0.00316403,0.004096487,0.05105718,0.1295768,0.03631905,0.02766282,0.006361858,0.003292726,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7857139,1.58E-06,0.000737796,0.00316403,0.004170745,0.05197701,0.1317551,0.03686893,0.02803899,0.006438,0.00333304,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.7999996,1.58E-06,0.000737796,0.00316403,0.004244833,0.05289501,0.1339239,0.03741414,0.02841024,0.006512649,0.003372567,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8142853,1.58E-06,0.000737796,0.00316403,0.004318746,0.05381114,0.136083,0.03795465,0.02877655,0.0065858,0.003411307,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8285711,1.58E-06,0.000737796,0.00316403,0.004392474,0.05472533,0.1382324,0.03849047,0.02913792,0.006657458,0.003449257,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8428568,1.58E-06,0.000737796,0.00316403,0.004466015,0.05563757,0.1403719,0.03902159,0.02949435,0.006727631,0.003486417,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8571426,1.58E-06,0.000737796,0.00316403,0.004539358,0.05654775,0.1425015,0.03954796,0.02984586,0.006796312,0.003522788,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8714283,1.58E-06,0.000737796,0.00316403,0.004612502,0.05745587,0.1446212,0.04006961,0.03019242,0.006863507,0.003558367,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8857141,1.58E-06,0.000737796,0.00316403,0.004685435,0.05836186,0.1467308,0.04058651,0.03053407,0.006929228,0.00359316,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.8999998,1.58E-06,0.000737796,0.00316403,0.00475815,0.05926564,0.1488302,0.04109865,0.03087078,0.006993465,0.003627162,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.9142855,1.58E-06,0.000737796,0.00316403,0.004830646,0.06016717,0.1509193,0.04160603,0.03120259,0.007056236,0.003660379,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.9285713,1.58E-06,0.000737796,0.00316403,0.004902912,0.06106643,0.1529981,0.0421086,0.03152946,0.007117532,0.003692804,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.942857,1.58E-06,0.000737796,0.00316403,0.004974942,0.06196333,0.1550665,0.0426064,0.03185144,0.007177367,0.003724449,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.9571428,1.58E-06,0.000737796,0.00316403,0.005046729,0.06285782,0.1571244,0.0430994,0.0321685,0.007235736,0.0037553,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.9714285,1.58E-06,0.000737796,0.00316403,0.005118269,0.06374986,0.1591716,0.04358758,0.03248064,0.007292649,0.003785369,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.9857143,1.58E-06,0.000737796,0.00316403,0.005189552,0.06463938,0.1612083,0.04407095,0.03278791,0.007348112,0.003814657,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1,1.58E-06,0.000737796,0.00316403,0.005260574,0.06552635,0.163234,0.04454945,0.03309025,0.007402124,0.00384316,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.014286,1.58E-06,0.000737796,0.00316403,0.005331326,0.0664107,0.165249,0.04502315,0.03338773,0.007454699,0.003870885,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.028571,1.58E-06,0.000737796,0.00316403,0.005401799,0.06729236,0.167253,0.04549197,0.03368032,0.007505831,0.003897827,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.042857,1.58E-06,0.000737796,0.00316403,0.005471991,0.06817126,0.1692459,0.04595594,0.03396802,0.007555529,0.003923986,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.057143,1.58E-06,0.000737796,0.00316403,0.005541893,0.06904739,0.1712277,0.04641502,0.03425084,0.0076038,0.003949373,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.071428,1.58E-06,0.000737796,0.00316403,0.005611497,0.06992066,0.1731982,0.04686917,0.03452877,0.007650641,0.00397398,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.085714,1.58E-06,0.000737796,0.00316403,0.005680801,0.07079107,0.1751575,0.04731847,0.03480185,0.007696071,0.003997813,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.1,1.58E-06,0.000737796,0.00316403,0.005749794,0.07165851,0.1771054,0.04776286,0.03507007,0.007740092,0.004020879,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.114285,1.58E-06,0.000737796,0.00316403,0.005818469,0.07252294,0.1790417,0.04820232,0.03533342,0.007782696,0.004043168,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.128571,1.58E-06,0.000737796,0.00316403,0.005886813,0.07338417,0.1809662,0.04863674,0.03559184,0.007823868,0.004064658,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.142857,1.58E-06,0.000737796,0.00316403,0.005954815,0.07424218,0.1828788,0.04906617,0.03584536,0.007863627,0.004085363,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.157143,1.58E-06,0.000737796,0.00316403,0.006022483,0.07509701,0.1847796,0.04949062,0.03609403,0.007901995,0.004105308,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.171428,1.58E-06,0.000737796,0.00316403,0.006089809,0.07594863,0.1866686,0.04991017,0.03633789,0.007938987,0.004124491,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.185714,1.58E-06,0.000737796,0.00316403,0.006156779,0.07679694,0.1885457,0.05032475,0.03657694,0.0079746,0.004142918,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.2,1.58E-06,0.000737796,0.00316403,0.006223394,0.07764188,0.1904106,0.0507343,0.03681115,0.008008846,0.004160588,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
1.214285,1.58E-06,0.000737796,0.00316403,0.006289642,0.07848345,0.1922635,0.05113886,0.03704055,0.008041724,0.004177503,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
